# Each author writes 6 times
1,Sunday,WJG,PH,queue
1,Monday,JH,GFA,
1,Tuesday,PG,MH,
1,Wednesday,KP,AG,
1,Thursday,LA,CC,
1,Friday,SW,OC,beyond
1,Saturday,JSt,LZal,
2,Sunday,IM,CJ,queue
2,Monday,CC,SN,
2,Tuesday,AM,LA,
2,Wednesday,GFA,WJG,
2,Thursday,GD,HS,
2,Friday,ZS,JH,beyond
2,Saturday,RH,AC,
3,Sunday,LZag,WY,queue
3,Monday,LZal,GFA,
3,Tuesday,MC,RH,
3,Wednesday,PH,KG,
3,Thursday,CJ,ACu,
3,Friday,MH,PG,beyond
3,Saturday,RG,JS,
4,Sunday,WY,GD,queue
4,Monday,LL,VK,
4,Tuesday,GFA,CM,
4,Wednesday,AW,DG,
4,Thursday,HS,LZal,
4,Friday,IM,LZag,beyond
4,Saturday,SS,LA,
5,Sunday,VK,IM,queue
5,Monday,RG,JS,
5,Tuesday,CM,SN,
5,Wednesday,MC,JSt,
5,Thursday,AG,LL,
5,Friday,CJ,RH,beyond
5,Saturday,KG,WY,
6,Sunday,SW,ACu,queue
6,Monday,HS,SS,
6,Tuesday,SN,CJ,
6,Wednesday,CC,PG,
6,Thursday,IM,APiz,
6,Friday,WY,GD,beyond
6,Saturday,AW,AM,
7,Sunday,KP,SW,queue
7,Monday,WJG,CC,
7,Tuesday,LZag,OC,
7,Wednesday,RG,MC,
7,Thursday,ZS,AC,
7,Friday,AG,JS,beyond
7,Saturday,KG,MH,
8,Sunday,PG,AM,queue
8,Monday,ACu,DG,
8,Tuesday,OC,LA,
8,Wednesday,MC,SK,
8,Thursday,JN,RH,
8,Friday,VK,LL,beyond
8,Saturday,JS,ZS,
9,Sunday,WY,MC,queue
9,Monday,KP,RG,
9,Tuesday,GFA,AC,
9,Wednesday,LZal,APiz,
9,Thursday,APic,JH,
9,Friday,MH,CC,beyond
9,Saturday,CM,GD,
10,Sunday,APiz,PH,queue
10,Monday,CJ,VK,
10,Tuesday,ZS,SN,
